Segment_Name,Nd143,La_Sm_N,Rb,Sr,La,Ce,Sm,Nd,Lu,Hf,U,Th,Pb
MARR184,0.513097364,1.420618447,7.373333333,241.5333333,11.45,27.97,5.21,18.65333333,0.459666667,3.836666667,0.322333333,1.076666667,0.834333333
MARR236,0.512773797,1.434551608,8.563529412,182.0588235,8.055882353,17.00235294,3.63,12.14764706,0.487,2.365,0.232533333,0.891352941,0.8474375
SWIR26d,0.513041,1.451468161,8.56,173,9.195,20.85,4.095,13.8,0.505,2.885,0.285,0.95,1.03
GALA11,0.512992965,1.461454147,9.83,176.3615385,11.76,26.5912,5.201538462,18.40346154,0.626230769,3.891153846,0.338653846,1.180461538,0.822376923
MARR163,0.51293551,1.476322539,6.0022,165.7,7.788,18.94,3.41,12.314,0.3936,2.204,0.2232,0.806,0.5786
BMNS1,0.513052,1.51755641,3.506666667,203.0033333,6.955333333,15.555,2.962666667,10.01166667,0.460666667,2.128333333,0.381333333,1.112666667,1.476333333
BMNS5,0.513046,1.557885341,18.085,352,8.1785,18.474,3.3935,12.6045,0.41,2.5735,0.287,0.687333333,3.553333333
BMRN14,0.513012276,1.559380494,6.9125,299.5,6.5375,14.4175,2.71,9.7025,0.3375,1.6125,0.2645,0.8945,1.6475
BMRN12,0.513020255,1.590833245,6.158333333,270.8333333,6.681666667,15.18333333,2.715,9.926666667,0.315,1.718333333,0.2535,0.859666667,1.6695
MARR93,0.513140998,1.594725325,5.457382979,161.6409057,6.365754717,14.35233962,2.580320755,8.92854717,0.349,1.841196078,0.237847826,0.76528,0.478647059
MARR70,0.512924,1.651942828,6.6,188.9,7.82,17.77,3.06,11.02,0.361,1.59,0.225,0.858,0.648
MARR164,0.51296993,1.654100859,10.40539333,216.8513333,11.1611025,25.881075,4.36169,16.0934925,0.461548,3.219016667,0.378709,1.259169,0.856876667
MARR242,0.51265671,1.671978576,8.23912766,198.563617,10.58746809,22.71623404,4.093276596,14.89895745,0.3551,2.6404,0.2297,0.989574468,1.021957447
BMRN11,0.513,1.750942927,7.09,306,9.02,20.3,3.33,12.7,0.35,2.09,0.283,1.164,1.16
MARR189,0.51304119,1.766682515,9.016666667,242.7,11.02333333,24.69,4.033333333,14.74333333,0.444,2.903333333,0.338,1.158333333,0.839
MARR244,0.512630962,1.823808623,11.342,212.216,11.964,25.116,4.2404,15.8636,0.439571429,3.02,0.260714286,1.04724,1.14448
MARR17,0.513021,1.884242593,11.285,167.95,10.45,22.46,3.585,13.38,0.384,1.978,0.309,1.2675,0.87
MARR168,0.512993008,1.891633249,11.59432,271.9300714,12.55625429,29.23034214,4.290746429,16.92183143,0.360714143,2.992768571,0.402874671,1.265525143,1.066749643
MARR82,0.513036714,1.900836301,7.752454545,144.510625,8.770454545,19.33627273,2.982545455,11.34618182,0.379181818,2.0426,0.230428571,0.843666667,0.702714286
MARR14,0.513026937,1.908061981,12.16384615,166.4692308,9.675,20.619,3.277692308,12.07538462,0.3741,2.0728,0.307692308,1.085230769,0.71625
MARR76,0.512917,1.920618403,7.085032159,158.4912449,7.817745907,17.16280977,2.631177528,9.991006991,0.272750678,1.495734603,0.214877939,0.779638138,0.717510111
EPRR31,0.513167201,2.090941877,15.4106964,335.7570192,17.94284361,39.24172881,5.547010621,22.13631004,0.42065443,4.11164007,0.539180366,1.710494528,1.428966774
MARR162,0.512914,2.227331901,9.96,209.6,12.37,27.66,3.59,15.05,0.335,2.18,0.383,1.4,0.781
SWIR35,0.512992,2.299704616,10.16333333,238.6666667,13.88666667,28.03333333,3.903333333,14.76666667,0.376666667,2.79,0.205,0.825,0.82
MARR161,0.512896202,2.362179201,12.6232,248.94,15.158,32.644,4.148,17.682,0.3764,2.656,0.4834,1.732,0.9338
MARR85,0.513027,2.404539329,12.2019375,209.3016875,11.87323529,24.26835294,3.191882353,13.27547059,0.355647059,2.177882353,0.410578947,1.369,0.7615
MARR83,0.512938994,2.69236,18.27557143,288.7741304,18.82378571,38.44335714,4.519428571,20.16778571,0.356,3.268285714,0.572047619,1.977952381,1.272375
MARR18,0.512992237,2.797043126,18.595,267.5285714,25.48,54.125,5.888571429,25.05571429,0.5035,4.51325,0.677714286,2.553714286,1.479142857
MARR92,0.512835,2.834576212,13.57688889,204.4096667,15.26011111,30.75411111,3.48,15.59455556,0.387111111,2.520666667,0.454111111,1.666555556,0.894625
AFAR20,0.512970033,2.88904965,13.8725,191.9,16.31875,33.1775,3.65125,16.13125,0.385125,2.07625,0.494875,2.13525,1.212875
MARR16,0.513004747,3.080331811,24.425,303.9,22.23,43.61,4.665,21.18,0.383,2.877,0.672,2.7305,1.437
MARR19,0.51296648,3.389625081,18,427.35,25.17,51.085,4.8,23.84,0.2795,2.8985,0.8325,2.96,1.4125
SWIR9c,0.512837,3.728171217,29.30146348,428.431625,27.72090417,53.57177083,4.806414583,24.21485,0.309892591,3.277021818,1.106443091,4.083657727,2.255168182
