SAMPLE_ID,Rb,Sr,La,Ce,Sm,Nd,Lu,Hf,U,Th,Pb
ODP0176-0735B-173R-004/105-113,0.93,169.8,1.01,3.35,1.29,3.39,0.19,0.781,0.007,0.019,0.363
ODP0176-0735B-173R-004/115-119,0.79,175.4,1,3.37,1.38,3.58,0.2,0.818,0.011,0.026,0.317
ODP0176-0735B-177R-005/034-040,0.08,167.4,0.52,1.74,0.7,1.83,0.1,0.337,0.004,0.011,0.498
ODP0176-0735B-177R-005/050-056,0.41,139.5,0.98,2.23,0.9,2.29,0.14,0.538,0.006,0.017,0.175
ODP0176-0735B-180R-004/093-100,0.23,158.2,1.13,3.69,1.18,3.37,0.17,0.921,0.018,0.04,0.306
ODP0176-0735B-180R-004/109-119,0.75,167.9,1.02,3.09,0.83,2.54,0.12,0.729,0.018,0.041,0.303
ODP0176-0735B-188R-007/061-068,0.08,167.1,0.35,1.16,0.64,1.46,0.1,0.275,0.001,0.005,0.198
ODP0176-0735B-188R-007/101-107,0.22,143.6,0.26,1,0.66,1.42,0.11,0.256,0.001,0.004,0.201
ODP0176-0735B-190R-002/069-075,0.15,148.9,0.9,3.24,1.31,3.4,0.18,0.815,0.006,0.016,0.189
ODP0176-0735B-190R-002/097-103,0.2,171.6,1.09,3.62,1.35,3.63,0.19,0.774,0.003,0.009,0.338
ODP0176-0735B-207R-006/032-038,0.31,176.7,0.61,2.07,0.88,2.22,0.13,0.468,0.004,0.012,0.295
ODP0176-0735B-207R-006/032-038/1,0.06,107.4,0.45,1.82,1.06,2.39,0.17,0.556,0.004,0.01,0.111
ODP0176-0735B-209R-004/103-111,0.24,142.3,1.02,2.45,0.82,2.41,0.11,0.249,0.006,0.012,0.277
ODP0176-0735B-209R-004/063-070,0.15,151,0.37,1.26,0.59,1.46,0.09,0.278,0.002,0.006,0.159
ODP0149-0900A-081R-001/096-101,4.64,209,0.47,1.12,1.16,2.01,0.2,0.56,0.46,0.01,0.76
ODP0149-0900A-080R-002/107-112,6.09,320,0.56,1.09,0.41,1.03,0.06,0.19,0.05,0.03,0.26
ODP0149-0900A-082R-001/101-106,9.05,261,0.78,1.36,0.59,1.31,0.08,0.24,0.3,0.09,0.37
ODP0149-0900A-082R-001/128-134,4.79,297,0.8,1.5,0.51,1.27,0.06,0.21,0.07,0.02,0.59
ODP0149-0900A-082R-003/002-007,5.65,279,0.73,1.58,0.62,1.5,0.08,0.24,0.22,0.02,0.53
ODP0149-0900A-083R-001/000-006,6.73,322,0.87,1.85,0.7,1.7,0.09,0.24,0.08,0.01,0.36
ODP0149-0900A-083R-002/060-065,5.55,212,1.03,2.25,1.03,2.31,0.13,0.49,0.15,0.03,0.3
ODP0149-0900A-084R-003/124-129,9.49,320,0.75,1.35,0.32,0.94,0.03,0.12,0.1,0.03,0.41
ODP0149-0900A-084R-004/123-126,1.69,186,0.91,1.99,0.85,1.99,0.11,0.34,0.04,0.02,0.24
ODP0187-1162A-005R-001/025-030,1.55,131,4.39,14.08,4.3,12.6,0.55,1.99,1.51,0.08,0.47
ODP0209-1271B-012-001/046-054,13.1,1.49,0.146,0.425,0.772,0.1737,0.267,0.1,0.041,0.002,4
ODP0209-1272A-03-001/028-038,31.8,4.65,0.357,14.528,18.5485,3.9392,2.1615,24.03,0.753,1.318,29
ODP0209-1271B-017-001/008-015,3.7,5.09,0.029,1.0834,2.1871,0.4764,0.6185,0.39,0.04,0.015,5
ODP0304-1309D-006R-001/124-129,0.686,116.54,0.61,2.182,0.78,2.316,0.125,0.403,0.018,0.051,0.083
ODP0304-1309D-007R-003/102-105,0.244,152.636,5.256,22.299,11.078,27.998,1.694,1.458,0.038,0.233,0.13
ODP0304-1309D-012R-001/062-064,0.108,123.256,0.132,0.447,0.204,0.492,0.032,0.059,0.007,0.002,0.033
ODP0304-1309D-014R-001/096-103,0.16,134.237,2.099,5.974,0.609,3.053,0.031,0.024,0.011,0.035,0.071
ODP0304-1309D-028R-002/070-074,0.373,133.784,0.306,0.767,0.318,0.804,0.059,0.105,0.03,0.022,0.083
ODP0304-1309D-045R-003/018-024,0.231,49.021,2.978,10.875,5.824,13.99,1.148,3.537,0.039,0.104,0.406
ODP0304-1309D-048R-001/044-053,0.136,54.748,0.267,0.986,0.645,1.397,0.13,0.329,0.008,0.012,0.084
ODP0304-1309D-055R-003/081-087,0.1,84.619,0.353,1.309,0.715,1.609,0.129,0.351,0.002,0.006,0.063
ODP0304-1309D-057R-002/133-143,0.081,58.527,0.229,0.842,0.685,1.335,0.161,0.295,0.002,0.005,0.051
ODP0304-1309D-073R-002/075-085,0.244,85.667,0.256,0.806,0.424,0.977,0.779,0.25,0.005,0.013,0.05
ODP0304-1309D-074R-001/105-113,0.16,86.068,0.195,0.644,0.421,0.875,0.116,0.183,0.004,0.011,0.069
ODP0304-1309D-135R-002/082-085,40.9,1271.81,92.08,148.97,11.49,64.16,0.255,5.33,2.52,10.37,7.5
ODP0304-1309D-135R-003/021-026,43.11,1423.64,101.35,161.26,12.86,70.66,0.283,6.32,2.62,11.54,7.69
